feature,train_non_null,oos_non_null,abs_gap
f__vwap__z_20_60,0.9886733692638046,0.9312354312354312,0.05743793802837338
f__vwap__z_30_60,0.9886733692638046,0.9312354312354312,0.05743793802837338
f__vwap__z_10_60,0.9886733692638046,0.9312354312354312,0.05743793802837338
f__vwap__z_5_60,0.9886733692638046,0.9312354312354312,0.05743793802837338
f__vwap__z_5_30,0.9944326730279718,0.9662004662004662,0.0282322068275056
f__vwap__z_10_30,0.9944326730279718,0.9662004662004662,0.0282322068275056
f__vwap__z_30_30,0.9944326730279718,0.9662004662004662,0.0282322068275056
f__vwap__z_20_30,0.9944326730279718,0.9662004662004662,0.0282322068275056
f__range__ratio_1.0,0.9963524409493608,0.9778554778554779,0.018496963093882934
f__vwap__z_5_20,0.9963524409493608,0.9778554778554779,0.018496963093882934
f__vwap__z_20_20,0.9963524409493608,0.9778554778554779,0.018496963093882934
f__vwap__z_30_20,0.9963524409493608,0.9778554778554779,0.018496963093882934
f__vwap__z_10_20,0.9963524409493608,0.9778554778554779,0.018496963093882934
f__ret__simple_12,0.9976962784943332,0.986013986013986,0.011682292480347134
f__conv__mom_vol_12,0.9976962784943332,0.986013986013986,0.011682292480347134
f__mom__roc_12,0.9976962784943332,0.986013986013986,0.011682292480347134
f__conv__obv_mom_12,0.9976962784943332,0.986013986013986,0.011682292480347134
f__mom__rsi_12,0.9978882552864721,0.9871794871794872,0.010708768106984845
f__conv__range_pos_12,0.9978882552864721,0.9871794871794872,0.010708768106984845
f__ma__ratio_12,0.9978882552864721,0.9871794871794872,0.010708768106984845
f__conv__adl_strength_12,0.9978882552864721,0.9871794871794872,0.010708768106984845
f__conv__wick_skew_12,0.9978882552864721,0.9871794871794872,0.010708768106984845
f__conv__body_strength_12,0.9978882552864721,0.9871794871794872,0.010708768106984845
f__conv__zscore_12,0.9978882552864721,0.9871794871794872,0.010708768106984845
f__ret__simple_6,0.9988481392471665,0.993006993006993,0.0058411462401735115
f__conv__mom_vol_6,0.9988481392471665,0.993006993006993,0.0058411462401735115
f__vol__rolling_std_6,0.9988481392471665,0.993006993006993,0.0058411462401735115
f__conv__obv_mom_6,0.9988481392471665,0.993006993006993,0.0058411462401735115
f__mom__roc_6,0.9988481392471665,0.993006993006993,0.0058411462401735115
f__vol__sum_6,0.9990401160393054,0.9941724941724942,0.0048676218668112226
f__mom__rsi_6,0.9990401160393054,0.9941724941724942,0.0048676218668112226
f__conv__range_pos_6,0.9990401160393054,0.9941724941724942,0.0048676218668112226
f__conv__body_strength_6,0.9990401160393054,0.9941724941724942,0.0048676218668112226
f__conv__zscore_6,0.9990330057877448,0.9941724941724942,0.0048605116152505845
f__conv__adl_strength_6,0.9990401160393054,0.9941724941724942,0.0048676218668112226
f__ma__ratio_6,0.9990401160393054,0.9941724941724942,0.0048676218668112226
f__conv__wick_skew_6,0.9990401160393054,0.9941724941724942,0.0048676218668112226
f__conv__zscore_3,0.9975185222053157,0.9945054945054945,0.003013027699821147
f__conv__obv_mom_3,0.9994240696235833,0.9965034965034965,0.0029205731200868668
f__mom__roc_3,0.9994240696235833,0.9965034965034965,0.0029205731200868668
f__vol__rolling_std_3,0.9994240696235833,0.9965034965034965,0.0029205731200868668
f__ret__simple_3,0.9994240696235833,0.9965034965034965,0.0029205731200868668
f__conv__mom_vol_3,0.9994240696235833,0.9965034965034965,0.0029205731200868668
f__vol__sum_3,0.9996160464157222,0.9976689976689976,0.0019470487467245778
f__conv__body_strength_3,0.9996160464157222,0.9976689976689976,0.0019470487467245778
f__conv__wick_skew_3,0.9996160464157222,0.9976689976689976,0.0019470487467245778
f__ma__ratio_3,0.9996160464157222,0.9976689976689976,0.0019470487467245778
f__conv__adl_strength_3,0.9996160464157222,0.9976689976689976,0.0019470487467245778
f__ret__simple_2,0.9996160464157222,0.9976689976689976,0.0019470487467245778
f__conv__range_pos_3,0.9996160464157222,0.9976689976689976,0.0019470487467245778
f__mom__roc_2,0.9996160464157222,0.9976689976689976,0.0019470487467245778
f__ret__simple_1,0.9998080232078611,0.9988344988344988,0.0009735243733622889
f__mom__roc_1,0.9998080232078611,0.9988344988344988,0.0009735243733622889
f__vwap__dist_30,1.0,1.0,0.0
f__time__hour_sin,1.0,1.0,0.0
f__vwap__dist_20,1.0,1.0,0.0
f__vol__atr_6,1.0,1.0,0.0
f__vol__atr_3,1.0,1.0,0.0
f__vwap__dist_10,1.0,1.0,0.0
f__time__dow_sin,1.0,1.0,0.0
f__vwap__value_3,1.0,1.0,0.0
f__vwap__value_6,1.0,1.0,0.0
f__vol__rel_6,1.0,1.0,0.0
f__vwap__dist_5,1.0,1.0,0.0
f__time__hour_cos,1.0,1.0,0.0
f__time__minute_sin,1.0,1.0,0.0
f__time__minute_cos,1.0,1.0,0.0
f__time__dow_cos,1.0,1.0,0.0
